workerid,proliferate.condition,affiliation,age,comments,confused,confused_prevented,confusion,education,enjoyment,fairprice,gender,language,problems,race,error
1546,main,3,46,The pay was very fair. Very interesting study. ,No,No,,3,2,1.00,Male,English,Not at all,White,
1409,main,2,42,,Yes,No,"It was unclear whether the two people were going to the park, movies, or wedding, as it wasn't specified... unless I missed something!",4,1,2.00,Female,English,,Asian,
1149,main,0,26,,No,,,2,2,,Male,English,,White,
1517,main,6,37,,No,No,,4,1,.70,Female,english,no,White,
1661,main,0,24,N/A,No,No,N/A,2,1,0.25,Female,English,N/A,White,
982,main,4,25,,No,No,,4,1,2.00,Male,English,,White,
1032,main,0,34,,No,No,,3,1,2,Male,English,,"Asian, Latino",
1461,main,3,19,,No,,,2,1,$1,Male,English,,White,
1399,main,0,25,,No,No,N/A,4,1,$1.5,Female,English,No,White,
1030,main,1,22,,No,,Nothing,3,1,1.50 usd,Male,English,None,AA,
1056,main,-1,25,,No,,,4,1,$2,Female,English,,White,
1253,main,0,21,,No,,,3,1,$1.20,Female,English,,White,
980,main,3,28,,No,,,3,2,$1,Male,English,,"AA, Latino",
1134,main,0,66,,No,,N/A,2,2,1.00,Female,English,the test conversation page wouldn't proceed at first,White,
1129,main,0,21,,No,,,3,1,1.00,Female,English,,White,
1438,main,2,35,All instructions were clear and very easy to understand throughout the study.,Yes,,,2,1,1.05,Male,English,,White,
1107,main,2,75,,No,,,4,1,,Female,English,,White,
1070,main,2,63,,No,,,4,2,1.00,Female,English,No,White,
1697,main,0,40,,No,,,3,2,as much as you're willing to pay,Male,english,,"Asian, White",
1136,main,2,32,,Yes,Yes,"I was confused regarding the question of what they were alluding to since there wasn't an option, I clicked something broken since it seems they were talking about an individual they were supposed to go out with experiencing car trouble.",5,2,yes,Female,English,no,AA,
1443,main,3,27,none,No,,N/A,2,2,0.70,Male,English,none,Latino,
1680,main,1,25,,No,,,4,1,The price listed was fair,Male,English,,White,
994,main,3,42,,No,,,3,2,i think it's just nice to be apart of something larger than myself.,Female,English,no,White,
1048,main,0,36,,No,,,4,1,1.50 USD,Male,English,,White,
1420,main,5,44,,No,,,4,1,1.00,Female,English,,White,
1199,main,6,44,cool,No,No,none,3,2,ok,Male,English,none,White,
1182,main,2,25,,No,Yes,,4,1,2,Female,English,,White,
1137,main,4,38,thanks,No,,N/A,4,1,5.00,Male,English,No,Asian,
1388,main,0,40,Thank you for your research!,No,No,,4,2,base,Male,English,None,White,
1326,main,0,70,"the 1st question asked were where they going. I listened over and over, couldn't ascertain that.",No,No,,2,2,0.50,Male,English ,,White,
1397,main,0,40,,No,,,3,1,1.50,Female,English,,White,
1271,main,1,31,"When choosing what I thought the conversation was about I picked 'something broken' because they talked about someone else having car troubles. However, the context could have been they were going somewhere (wedding, movies) based on there being an element of time. I did listen to the conversation multiple times but it was still tough to pick the exact topic of the conversation.",No,,N/A,4,2,$1,Male,English,No,"Asian, White",
1698,main,0,26,,No,,,4,2,$1.6,Male,English,,White,
1319,main,6,44,"the study was fun and different. in the beginning page with the 2 men talking, the word BETWEEN was misspelled. other than that i had no tech issues or problems understanding the study.",No,,,2,2,1.00,Female,english,,White,
1314,main,5,58,none,No,,,4,2,$1.50,Female,English,,White,
1631,main,4,55,none,No,No,n/a,4,2,1,Male,english,none,White,
1440,main,0,29,n/a,No,No,nothing was confusing ,4,1,$1,Male,English,None,White,
1693,main,4,35,It was a bit different than a regular study but slightly interesting.,No,,na,2,2,not sure,Male,english,none,White,
1623,main,2,56,,No,,,4,2,yes,Male,English,no,White,
1035,main,0,37,,No,,,3,1,1.00,Female,English,no,AA,
1145,main,0,46,I had a hard time answering if society thinks black or white people are more interrupting or good listeners etc. I can think of both examples in negatives ways for each race.,No,No,,3,1,1.5,Female,English,,White,
1098,main,2,30,,No,No,I wasn't confused,2,1,$2,Male,English,No,White,
1332,main,1,25,,No,No,,4,1,$2.00,Female,English,"In the practice round, the speaker was saying a few other words after ""Saturday"". The last word sounded like ""count"" to me so I initially thought that was the last word. ",Asian,
1541,main,4,22,,No,,,4,1,Yes,Female,English,No,White,
1500,main,0,36,,No,No,,3,2,2,Male,english,no,White,
1536,main,0,34,The survey was very interesting to me.,No,,,3,1,.90,Female,English,no,AA,
1248,main,3,54,,No,,,3,1,1.25,Male,English,no,"Latino, White",
1479,main,0,31,,No,,,4,1,$5,Female,english,,White,
1691,main,6,41,,No,,,4,2,$1.8,Male,English,,White,
1151,main,3,18,,No,,,3,2,1.50,Other,English,,White,
1628,main,0,37,,Yes,,,5,2,1.50,Male,English,No,White,
1017,main,5,27,,Yes,No,,4,1,$1,Male,English,,White,
1557,main,0,45,,No,,,3,2,don't know,Female,English,,White,
1015,main,-1,37,,No,No,,0,1,yes,Female,English,,White,
1392,main,3,34,,No,No,,4,2,2.00,Male,English,,"Asian, AA, White",
1354,main,3,44,No comments.,No,No,,3,2,$1.25,Male,English,,White,
1633,main,0,48,"On the initial page of the John and Emily introduction, there is a misspelling: ""converstaion"". Just FYI. Have a nice day!",Yes,No,"The answers for what the two (John & Emily) were talking about: it really could have been any of the activities, going to a wedding, going to the movies, or family reunion. Also, it could conceivably been about something broken, too, because the mention of car trouble. I don't know. Just a little vague, but that is probably your point.",3,1,$2.,Male,English,No.,White,
1150,main,1,34,,No,No,,3,2,yes,Female,english,,White,
1301,main,3,44,,No,,,4,1,Yes,Female,English,No,White,
1359,main,1,29,cool,No,,,4,1,5,Male,english,no,White,
1426,main,0,31,nothing in particular,No,No,N/A,4,1,2,Male,english (american),nope,White,
1529,main,6,34,"It not about race or sex, it depends on how the person is. ",No,No,I was not confused,4,2,1.50,Male,English,"No, there was no bug","Asian, Latino, White",
1295,main,0,38,,No,No,,3,1,$2.50,Male,English,,White,
1242,main,1,39,none,No,,,5,2,1.50,Female,English,No,White,
1668,main,0,64,I would like to know the results of the study as I had a hard time understanding the exact purpose.,No,No,,4,2,1.00,Male,English,No,White,
1027,main,0,76,"When there are two different questions on the same form, separate them with physical lines.",Yes,No,"The format of some of the questions was confusing.  It took a little while to understand the headings on the last screen.  Also, I had a feeling that about two screens before the last I had selected the left-most box when I should have selected the right-most box, but I couldn't go back to check.  
",4,2,"1.05 seemed right, relative to most Prolific studies",Female,English,no,White,
1044,main,3,41,,Yes,,,3,2,1.00,Female,English,No,AA,
1445,main,2,64,,No,,,5,2,1.80,Female,English,No.,White,
1471,main,2,29,,No,,,4,2,$2.00,Female,English,,White,
1312,main,1,28,,No,No,,2,1,,Female,English,,White,
1357,main,1,37,this was a fun study,No,No,,2,2,yes,Female,english,no,White,
1679,main,0,46,,No,,,3,1,1.25,Male,English,There were not.,White,
1627,main,2,51,,No,No,,4,2,70,Male,english,,White,
1594,main,0,30,It was unique and engaging,No,,,5,2,$1,Male,English,,White,
1695,main,0,25,,Yes,No,,2,1,1.25,Male,english,No,"AA, White",
1190,main,6,27,I wish the study would have mentioned the relationship between her and Paul after I answered the questions about their conversation.,No,,,3,2,1.05,Male,English,,White,
1212,main,3,57,"None, thanks.",No,,,4,-1,.75,Male,english,no,White,
1418,main,3,25,"It was a fairly simple experiment/study, just a tad boring for my taste but most of them are anyways.",No,No,,3,0,$1,Male,English,,Asian,
1683,main,6,55,,No,,,4,2,$2,Male,English,No.,White,
1166,main,2,52,,No,No,,3,2,the price quoted is fair,Female,english,,AA,
1308,main,-1,,,Yes,No,,-1,-1,,,English,,,
1518,main,0,50,none,No,,na,3,1,what im receiving,Female,english,na,White,
1588,main,2,62,,No,,n/a,4,1,$1.50,Male,English,n/a,White,
1290,main,1,30,I enjoyed this study - thanks!,No,,,4,2,yes,Female,English,"During the trial, I tried to click ""proceed"" but I got an error message in red saying to type in the last word spoken before proceeding. I had already done that. I refreshed the page, and it started the experiment over. It worked fine from there.",White,
1211,main,2,56,,No,No,,4,2,yes,Female,English,none,White,
1396,main,0,21,,No,,,3,1,$1,Male,English,,Asian,
1678,main,3,54,n/a,No,,N/A,4,1,1.25,Male,English,no,White,
1569,main,0,26,,No,No,,3,1,Don't ask me!,Other,English,No,"AA, Latino",
1217,main,3,39,,No,,,2,1,,Male,english,,White,
1449,main,0,26,,No,,N/A,4,1,£1.05,Male,English,N/A,White,
1495,main,0,58,N/A,Yes,No,I was asked to determine what event they were talking about and it wasn't even disclosed,3,1,1.00,Female,English,no,White,
990,main,1,37,,No,No,,2,1,1.00,Female,English,None,White,
1273,main,0,41,i enjoyed the survey,No,No,,4,2,1.00,Male,english,none,White,
1101,main,4,33,none,No,No,nothing,3,1,3,Female,English,none,Latino,
1455,main,3,34,,No,No,,4,2,1.10,Male,English,,White,
1606,main,3,41,,No,No,I wasn't.,4,1,$2.00,Male,English,No.,White,
997,main,1,23,Bachelors degree and female it won’t let me click right one.,No,No,,-1,1,$1,,English,No,White,
1474,main,2,26,,No,No,,4,1,1.50,Male,English,,Asian,
1038,main,0,53,,No,,n/a,3,1,$2.50,Female,English,No.,Latino,
1617,main,3,60,,No,,,2,1,1.50 USD,Male,English,none,White,
1291,main,6,38,,No,No,nothing,4,2,1.00,Female,English,no,White,
1639,main,4,48,none,No,,nothing,3,1,1.20,Male,English,no,White,
1672,main,3,41,,No,No,,4,1,1,Male,English,None,Latino,
1002,main,6,56,,No,,,4,2,1.50,Female,English,no,White,
1261,main,2,27,,No,No,,4,1,1,Female,English,no,White,
1247,main,0,22,,No,No,,3,2,Yes,Female,English,No,AA,
1328,main,2,38,Use a different audio clip for the test.,Yes,No,The first audio clip ended on a word that was hard to interpret. But apparently you wanted the second to last word in the conversation and not the last.,4,1,1.50,Male,English,"No, other than the unclear audio test.",White,
983,main,6,25,,No,,,4,2,Yes,Female,English,,White,
1442,main,1,40,,No,,,4,2,1.5,Female,English,,"Asian, Latino",
1433,main,4,37,,No,No,,3,2,Yes.,Male,English,,White,
1539,main,3,29,,No,,,2,1,1.00,Male,English,No,White,
1625,main,6,31,,No,,,4,2,1.00,Female,English,None,White,
1270,main,2,46,,No,,n/a,3,2,$1.50,Male,English,no,White,
1428,main,0,21,,No,,,3,2,,Female,English,,White,
1566,main,3,52,,No,,,4,2,$2,Female,English,No.,AA,
1515,main,3,51,,No,No,no,3,1,2 $,Female,english,no,White,
1553,main,0,53,Thanks!,No,,,2,2,1.05,Male,English,no,White,
1146,main,6,48,,No,No,,4,2,2,Female,English,no,White,
1356,main,0,75,,No,,,4,2,1.05,Male,English,,White,
1178,main,2,32,,No,No,,4,2,1,Male,English,,White,
1223,main,2,19,,No,No,,3,2,$0.6,Male,English,No bugs and problems were present.,Latino,
1039,main,-1,,,,,,-1,-1,,,,,,
1362,main,0,28,,No,,,4,-1,Idk,Female,English,,White,
1561,main,6,,,No,,,-1,-1,,Male,,,,
1139,main,2,29,,No,,,4,2,.95,Female,English,,White,
1092,main,5,73,,No,,nothing,5,1,What ever I agreed to at the beginning,Male,English,no,White,
1045,main,0,35,,No,,,4,1,$1.25,Female,English,,"Latino, White",
1675,main,0,73,,No,,,4,-1,200,Male,English,no,White,
1153,main,3,32,NA,No,No,NA,4,1,Sure,Female,English,No problems.,Asian,
1502,main,-1,41,,No,,,-1,-1,,Male,english,no,Asian,
1424,main,0,36,,No,No,,5,2,yes,Female,English,,AA,
1040,main,0,49,,No,,n/a,4,2,1.00,Male,English,none,White,
1298,main,3,51,Thanks,No,,,4,2,1.00,Female,English,,White,
1343,main,0,56,"I answered ""something broken"" as the best topic because they were talking about people with car trouble.",No,,,5,1,$1.75,Female,English,"No, everything went well. ",White,
1659,main,4,57,All is well,No,No,No confusion,2,1,1.25,Male,English,No problems,White,
1406,main,0,36,,No,,na/,4,1,as is,Male,English,no,White,
1545,main,0,51,,No,No,,5,2,1.05,Female,English,,White,
1544,main,0,35,,No,No,,5,2,2.00,Female,English,,White,
1577,main,2,23,,No,No,n/a,5,2,1.00,Female,English,no,White,
1398,main,3,57,none,No,No,no,3,1,1.00,Female,english,no,White,
1106,main,0,53,,No,No,,4,2,1.75,Female,English,,White,
1429,main,2,41,n/a,No,No,n/a,5,2,$2,Female,English,none,White,
1320,main,0,19,,No,,,2,2,1.01,Female,english,,White,
1097,main,0,41,none,No,No,,4,1,2.00,Female,English,,Latino,
1586,main,4,42,None,No,,NA,4,0,1.00,Male,English,None,White,
1408,main,0,26,Thanks.,No,No,No confusions.,4,2,The given price.,Female,English,No.,"AA, White",
1383,main,2,36,,No,No,,2,1,$1.40,Male,English,"During the practice section I had to put Saturday as the last word spoken, but the speaker clearly said something after Saturday.",White,
1165,main,1,39,,No,No,,4,1,,Male,english,,White,
1538,main,0,40,,No,,,4,1,,Male,,,White,
1504,main,3,75,,No,No,,3,1,1.00,Female,English,none,White,
1204,main,0,29,,No,,,3,1,1.05,Female,English,No,White,
1069,main,1,52,,No,,,4,1,2,Male,english,,White,
1407,main,0,39,interesting study,No,No,n/a,4,1,3.00,Female,english,n/a,White,
1012,main,3,28,,No,,,4,1,,Female,English,,White,
1520,main,0,55,no problems :),No,,,4,1,1.75 USD,Female,English,none,White,
1016,main,1,27,,No,,,5,1,1.00,Female,English,No,Asian,
1486,main,3,33,I thought it was fun! Very interactive compared to most.,Yes,No,n/a,3,2,yes,Male,English,no,White,
1352,main,2,35,would have liked more if the sliders worked better,No,No,,4,1,10.00,Female,english,Kept telling me to slide the sliders when I already did which caused me to move them more of one way than I really wanted to ,White,
1619,main,0,50,,No,No,,5,1,$1.5,Male,english,no,White,
1155,main,0,49,,No,,,3,1,whatever you're willing to pay,Male,English,,White,
1472,main,1,28,,No,No,,4,1,$1,Male,English,,White,
1573,main,2,31,Good survey,No,,N/A,4,2,1.50,Male,English,No issues,White,
1447,main,0,22,,No,,,3,1,1.00,Female,English,No,White,
1011,main,1,32,Yes,No,,None,5,1,2.00,Female,English,none,Asian,
1065,main,0,21,,No,,,3,2,0.67,Female,English,no,White,
1488,main,1,35,None,No,No,N/A,4,1,1.75,Male,English,None,AA,
1599,main,3,49,N/A,No,,N/A,3,1,1.05,Male,English,no,AA,
1269,main,0,34,Best wishes. Everything was great.,No,,N/A,4,1,$2,Female,English,No.,White,
1054,main,0,35,The practice audio had a question about the last word that was said but the speaker trailed off so I wasn't sure if I was supposed to guess that word or just input the last full word I was able to hear. ,No,,,4,2,0.80,Female,English,No,Asian,
1331,main,0,51,No comments. ,No,No,,4,2,5.00,Female,English,No,White,
1682,main,4,29,very good study,No,No,,5,2,5,Male,english,,White,
1526,main,3,53,,No,,,4,2,1.00,Male,English,,White,
1281,main,-1,,,,,,-1,-1,,,,,,
1484,main,0,50,,No,,,4,2,It was fair as is,Male,English,,White,
1100,main,1,24,,No,No,,4,1,$1,Female,English,,White,
1516,main,0,27,thank you,No,,,4,1,1.35,Male,english,,White,
999,main,0,39,,No,No,,2,2,1.50,Male,english,,White,
1390,main,3,71,,No,,,3,1,,Male,English,,White,
1464,main,2,53,,No,,,4,1,$1.50,Female,English,,White,
1641,main,1,49,,No,,,4,1,$1,Male,English,no,White,
1432,main,2,38,,Yes,No,How we were supposed to know where they were going or what the conversation was about from the options given. ,5,-1,,Female,English,No,White,
1687,main,6,71,This was interesting. Never did one like this.,No,No,,5,2,.50,Male,English,No.  I couldn't understand one thing that was said in the conversation.,White,
1530,main,0,48,"I liked this study, it was different! ",No,,N/A,5,2,Yes,Female,English,N/A,White,
1650,main,3,40,,No,No,,3,1,this price was fair,Male,english,no,White,
1394,main,3,55,,No,,,4,1,$2,Female,English,no,White,
1272,main,0,20,,No,No,,3,2,$1,Female,English,,Latino,
1169,main,2,22,n/a,No,No,,4,1,$1,Other,english,no,Asian,
1138,main,6,76,Thanks good survey ,No,,,4,2,,Male,English,,White,
1075,main,0,53,,No,,,4,1,.50,Female,english,,White,
1050,main,0,54,,No,,,3,1,1.05,Female,English,N/A,White,
1180,main,0,31,"I have no comments, thank you",No,No,I was not confused,4,2,1.25,Female,English,There were no issues,Latino,
1591,main,0,43,,No,,,3,2,2,Male,english,,White,
1653,main,5,33,It was pretty fun,No,No,No,5,2,$1,Male,English,No,White,
1279,main,5,55,,No,,,2,1,1.00,Female,English,,"AA, White",
1243,main,6,52,,No,,,2,1,,Male,,,White,
1385,main,0,25,,No,,,5,1,1,Male,English,,White,
1206,main,3,53,,No,,,4,2,1.25,Male,English,None.,"Latino, White",
1218,main,2,46,no comments,No,,,3,2,1,Male,English,no,White,
1104,main,1,61,,No,No,,4,1,2.00,Female,English,,AA,
1543,main,0,56,,No,,,2,2,,Female,English,,White,
1292,main,0,26,,Yes,No,,2,1,1.05,Male,spanish,,Latino,
1503,main,4,42,No comments. ,No,,,3,2,1.50,Female,English,,"Latino, White",
1147,main,3,55,I thought it was very detailed... made me wonder what you would get out of this study,No,No,,4,2,5.00,Female,English,,White,
1088,main,2,57,,No,,,3,2,1.50,Female,English,,AA,
1191,main,3,33,,No,No,,3,0,1.05,Female,English,,White,
1596,main,0,40,,No,No,,4,1,What I was paid,Male,English,No,White,
1313,main,3,47,None.,No,,,3,1,1.00,Female,English,No,White,
1534,main,3,65,,No,,,4,1,$16/hr,Male,English,no,White,
1564,main,1,22,,No,,,3,1,1.50,Female,English,no,White,
1214,main,3,56,,No,,,4,1,$2,Male,English,,White,
1470,main,1,36,,No,,,4,2,1.75,Female,English,,White,
1462,main,3,45,,No,,,3,2,1,Male,English,,White,
1264,main,2,49,,No,,,4,2,1.00,Male,English,,White,
1284,main,0,36,N/A,No,,N/A,3,1,1,Male,English,N/A,White,
1121,main,0,24,,No,No,,2,1,1.50,Female,english,no,AA,
1476,main,3,28,N/A,No,,N/A,5,1,Yes,Female,English,No.,White,
1377,main,0,27,N/A,No,No,N/A,4,1,$1,Male,English,"One of the sliders wouldn't move, but it fixed itself after a minute or so.",White,
1285,main,-1,28,,No,,,4,1,The price given is fine.,Male,English,Nope,White,
1562,main,4,20,,No,,n/a,2,1,$2.50,Female,english,n/a,White,
1624,main,0,67,,No,No,,4,2,1.00,Male,english,no,White,
1177,main,2,45,Intersting! I liked hearing the clips,No,No,,4,2,$1,Female,English,No,White,
